id,ko_raw,en,ko_forms,flags
r1145,로그 순위검정[검증],log-rank test,로그 순위검정 | 로그 순위검증,
r1208,만-위트니 U 검정[검증],Mann-Whitney U-test,만-위트니 U 검정 | 만-위트니 U 검증,
r1305,무드-브라운 중위수검정[검증],Mood-Brown median test,무드-브라운 중위수검정 | 무드-브라운 중위수검증,
r1348,미끄러짐 검정[검증],slippage test,미끄러짐 검정 | 미끄러짐 검증,
r1350,미니맥스 검정[검증],minimax test,미니맥스 검정 | 미니맥스 검증,
r1396,베란의 검정[검증],Beran's test,베란의 검정 | 베란의 검증,
r1397,베렌스-피셔 검정[검증],Behrens-Fisher test,베렌스-피셔 검정 | 베렌스-피셔 검증,
r1494,보수적 검정[검증],conservative test,보수적 검정 | 보수적 검증,
r1517,복합도수[빈도]분포,compound frequency distribution,복합도수분포 | 복합빈도분포,
r1543,부분 베이즈 인수[인자],fractional Bayes factor,부분 베이즈 인수 | 부분 베이즈 인자,
r1551,부분균형격자방격[정방],partially balanced lattice square,부분균형격자방격 | 부분균형격자정방,
r1567,부분적 축화[추축화],partial pivoting,부분적 축화 | 부분적 추축화,
r1594,부호검정[검증],sign test,부호검정 | 부호검증,
r1595,부호순위검정[검증],signed rank test,부호순위검정 | 부호순위검증,
r1623,분산팽창[확대]인수[인자],variance inflation factor,분산팽창인수 | 분산팽창인자 | 분산확대인수 | 분산확대인자,
r1682,불완비 라틴 방격[정방],incomplete Latin square,불완비 라틴 방격 | 불완비 라틴 정방,
r1708,브렁크의 검정[검증],Brunk's test,브렁크의 검정 | 브렁크의 검증,
r1741,비대칭검정[검증],asymmetrical test,비대칭검정 | 비대칭검증,
r1747,비례도수[빈도],proportional frequency,비례도수 | 비례빈도,
r1760,비모수적[비파라미터적] 검정[검증],nonparametric test,비모수적 검정 | 비모수적 검증 | 비파라미터적 검정 | 비파라미터적 검증,
r1775,비선형제약[조건],nonlinear constraint,비선형제약 | 비선형조건,
r1796,비임의화검정[검증],nonrandomized test,비임의화검정 | 비임의화검증,
r1832,비편향검정[검증],unbiased test,비편향검정 | 비편향검증,
r1837,비편향최강력검정[검증],unbiased most powerful test,비편향최강력검정 | 비편향최강력검증,
r1841,비표집[비표본추출] 편향,nonsampling bias,비표집 편향 | 비표본추출 편향,
r1846,빈칸검정[검증],empty cell test,빈칸검정 | 빈칸검증,
r1873,반복 로그[대수],iterated logarithm,반복 로그 | 반복 대수,
r1887,반복유의성검정[검증],repeated significance test,반복유의성검정 | 반복유의성검증,
r1915,반전검정[검증],reversal test,반전검정 | 반전검증,
r1932,배리맥스[분산최대] 회전,varimax rotation,배리맥스 회전 | 분산최대 회전,
r2005,속성[성질],property,속성 | 성질,
r2015,수량화 플롯[그림],quantification plot,수량화 플롯 | 수량화 그림,
r2042,수정 라틴 방격[정방],modified Latin square,수정 라틴 방격 | 수정 라틴 정방,
r2070,수카트미의 검정[검증],Sukhatme's test,수카트미의 검정 | 수카트미의 검증,
r2084,순서대립[대안]가설,ordered alternative hypothesis,순서대립가설 | 순서대안가설,
r2107,순열검정[검증],permutation test,순열검정 | 순열검증,
r2117,순위합검정[검증],rank-sum test,순위합검정 | 순위합검증,
r2125,순차(적)검정[검증],sequential test,순차적검정 | 순차적검증 | 순차검정 | 순차검증,
r2137,순차확률비검정[검증],sequential probability ratio test,순차확률비검정 | 순차확률비검증,
r2154,쉐페의 검정[검증],Scheffe's test,쉐페의 검정 | 쉐페의 검증,
r2162,스타인의 이[2]표본절차,Stein's two sample procedure,스타인의 이표본절차 | 스타인의 2표본절차,
r2320,쌔비지 검정[검증],Savage test,쌔비지 검정 | 쌔비지 검증,
